Сокольническая линия,Бульвар Рокоссовского,-8
Сокольническая линия,Черкизовская,-9
Сокольническая линия,Преображенская площадь,-8
Сокольническая линия,Сокольники,-9
Сокольническая линия,Красносельская,-8
Сокольническая линия,Комсомольская,-8
Сокольническая линия,Красные ворота,-31
Сокольническая линия,Чистые пруды,-35
Сокольническая линия,Лубянка,-33
Сокольническая линия,Охотный ряд,-15
Сокольническая линия,Библиотека имени Ленина,-12
Сокольническая линия,Кропоткинская,-13
Сокольническая линия,Парк культуры,-40
Сокольническая линия,Фрунзенская,-42
Сокольническая линия,Спортивная,-42
Сокольническая линия,Воробьёвы горы,10
Сокольническая линия,Университет,-27
Сокольническая линия,Проспект Вернадского,-8
Сокольническая линия,Юго-Западная,-8
Замоскворецкая линия,Речной вокзал,-6
Замоскворецкая линия,Водный стадион,-6
Замоскворецкая линия,Войковская,-7
Замоскворецкая линия,Сокол,-10
Замоскворецкая линия,Аэропорт,-10
Замоскворецкая линия,Динамо,-40
Замоскворецкая линия,Белорусская,-33
Замоскворецкая линия,Маяковская,-33
Замоскворецкая линия,Тверская,-42
Замоскворецкая линия,Театральная,-34
Замоскворецкая линия,Новокузнецкая,-38
Замоскворецкая линия,Павелецкая,-40
Замоскворецкая линия,Автозаводская,-11
Замоскворецкая линия,Коломенская,-9
Замоскворецкая линия,Каширская,-7
Замоскворецкая линия,Кантемировская,-8
Замоскворецкая линия,Царицыно,-8
Замоскворецкая линия,Орехово,-9
Замоскворецкая линия,Домодедовская,-10
Замоскворецкая линия,Красногвардейская,-9
Арбатско-Покровская линия,Щёлковская,-8
Арбатско-Покровская линия,Первомайская,-7
Арбатско-Покровская линия,Измайловская,0
Арбатско-Покровская линия,Партизанская,-9
Арбатско-Покровская линия,Семёновская,-40
Арбатско-Покровская линия,Электрозаводская,-32
Арбатско-Покровская линия,Бауманская,-33
Арбатско-Покровская линия,Курская,-31
Арбатско-Покровская линия,Площадь Революции,-34
Арбатско-Покровская линия,Арбатская,-41
Арбатско-Покровская линия,Смоленская,-50
Арбатско-Покровская линия,Киевская,-38
Арбатско-Покровская линия,Парк Победы,-84
Арбатско-Покровская линия,Славянский бульвар,-9
Арбатско-Покровская линия,Кунцевская,0
Арбатско-Покровская линия,Молодёжная,-7
Арбатско-Покровская линия,Крылатское,-10
Арбатско-Покровская линия,Строгино,-8
Филевская линия,Кунцевская,0
Филевская линия,Пионерская,0
Филевская линия,Филёвский парк,0
Филевская линия,Багратионовская,0
Филевская линия,Фили,0
Филевская линия,Кутузовская,0
Филевская линия,Студенческая,0
Филевская линия,Киевская,-9
Филевская линия,Смоленская,-8
Филевская линия,Арбатская,-8
Филевская линия,Александровский сад,-7
Филевская линия,Выставочная,-25
Филевская линия,Международная,-25
Кольцевая линия,Парк культуры,-11
Кольцевая линия,Октябрьская,-40
Кольцевая линия,Добрынинская,-36
Кольцевая линия,Павелецкая,-34
Кольцевая линия,Таганская,-53
Кольцевая линия,Курская,-40
Кольцевая линия,Комсомольская,-37
Кольцевая линия,Проспект Мира,-40
Кольцевая линия,Новослободская,-40
Кольцевая линия,Белорусская,-43
Кольцевая линия,Краснопресненская,-36
Кольцевая линия,Киевская,-48
Калужско-Рижская линия,Медведково,-10
Калужско-Рижская линия,Бабушкинская,-10
Калужско-Рижская линия,Свиблово,-8
Калужско-Рижская линия,Ботанический сад,-7
Калужско-Рижская линия,ВДНХ,-54
Калужско-Рижская линия,Алексеевская,-51
Калужско-Рижская линия,Рижская,-46
Калужско-Рижская линия,Проспект Мира,-50
Калужско-Рижская линия,Сухаревская,-43
Калужско-Рижская линия,Тургеневская,-49
Калужско-Рижская линия,Китай-город,-29
Калужско-Рижская линия,Третьяковская,-46
Калужско-Рижская линия,Октябрьская,-50
Калужско-Рижская линия,Шаболовская,-47
Калужско-Рижская линия,Ленинский проспект,-16
Калужско-Рижская линия,Академическая,-9
Калужско-Рижская линия,Профсоюзная,-7
Калужско-Рижская линия,Новые Черёмушки,-7
Калужско-Рижская линия,Калужская,-10
Калужско-Рижская линия,Беляево,-12
Калужско-Рижская линия,Коньково,-8
Калужско-Рижская линия,Теплый Стан,-8
Калужско-Рижская линия,Ясенево,-8
Калужско-Рижская линия,Новоясеневская,-7
Таганско-Краснопресненская линия,Планерная,-6
Таганско-Краснопресненская линия,Сходненская,-6
Таганско-Краснопресненская линия,Тушинская,-11
Таганско-Краснопресненская линия,Щукинская,-13
Таганско-Краснопресненская линия,Октябрьское поле,-9
Таганско-Краснопресненская линия,Полежаевская,-10
Таганско-Краснопресненская линия,Беговая,-9
Таганско-Краснопресненская линия,Улица 1905 года,-11
Таганско-Краснопресненская линия,Баррикадная,-30
Таганско-Краснопресненская линия,Пушкинская,-51
Таганско-Краснопресненская линия,Кузнецкий мост,-40
Таганско-Краснопресненская линия,Китай-город,-29
Таганско-Краснопресненская линия,Таганская,-36
Таганско-Краснопресненская линия,Пролетарская,-9
Таганско-Краснопресненская линия,Волгоградский проспект,-8
Таганско-Краснопресненская линия,Текстильщики,-13
Таганско-Краснопресненская линия,Кузьминки,-8
Таганско-Краснопресненская линия,Рязанский проспект,-6
Таганско-Краснопресненская линия,Выхино,0
Калининская линия,Новогиреево,-9
Калининская линия,Перово,-9
Калининская линия,Шоссе Энтузиастов,-53
Калининская линия,Авиамоторная,-53
Калининская линия,Площадь Ильича,-46
Калининская линия,Марксистская,-60
Калининская линия,Третьяковская,-46
Серпуховско-Тимирязевская линия,Алтуфьево,-9
Серпуховско-Тимирязевская линия,Бибирево,-10
Серпуховско-Тимирязевская линия,Отрадное,-9
Серпуховско-Тимирязевская линия,Владыкино,-11
Серпуховско-Тимирязевская линия,Петровско-Разумовская,-61
Серпуховско-Тимирязевская линия,Тимирязевская,-64
Серпуховско-Тимирязевская линия,Дмитровская,-59
Серпуховско-Тимирязевская линия,Савёловская,-52
Серпуховско-Тимирязевская линия,Менделеевская,-49
Серпуховско-Тимирязевская линия,Цветной бульвар,-50
Серпуховско-Тимирязевская линия,Чеховская,-62
Серпуховско-Тимирязевская линия,Боровицкая,-47
Серпуховско-Тимирязевская линия,Полянка,-37
Серпуховско-Тимирязевская линия,Серпуховская,-43
Серпуховско-Тимирязевская линия,Тульская,-10
Серпуховско-Тимирязевская линия,Нагатинская,-14
Серпуховско-Тимирязевская линия,Нагорная,-9
Серпуховско-Тимирязевская линия,Нахимовский проспект,-10
Серпуховско-Тимирязевская линия,Севастопольская,-13
Серпуховско-Тимирязевская линия,Чертановская,-11
Серпуховско-Тимирязевская линия,Южная,-10
Серпуховско-Тимирязевская линия,Пражская,-10
Серпуховско-Тимирязевская линия,Улица Академика Янгеля,-8
Серпуховско-Тимирязевская линия,Аннино,-8
Серпуховско-Тимирязевская линия,Бульвар Дмитрия Донского,-10
Люблинская линия,Трубная,-60
Люблинская линия,Сретенский бульвар,-60
Люблинская линия,Чкаловская,-51
Люблинская линия,Римская,-54
Люблинская линия,Крестьянская застава,-47
Люблинская линия,Дубровка,-62
Люблинская линия,Кожуховская,-12
Люблинская линия,Печатники,-8
Люблинская линия,Волжская,-8
Люблинская линия,Люблино,-8
Люблинская линия,Братиславская,-8
Люблинская линия,Марьино,-8
Каховская линия,Каширская,-7
Каховская линия,Варшавская,-9
Каховская линия,Каховская,-8
Бутовская линия,Улица Старокачаловская,-10
Бутовская линия,Улица Скобелевская,10
Бутовская линия,Бульвар Адмирала Ушакова,10
Бутовская линия,Улица Горчакова,10
Бутовская линия,Бунинская Аллея,10
Арбатско-Покровская линия,Мякинино,0
Арбатско-Покровская линия,Волоколамская,-14
Арбатско-Покровская линия,Митино,-14
Люблинская линия,Марьина Роща,-60
Люблинская линия,Достоевская,-60
Люблинская линия,Борисово,-10
Люблинская линия,Шипиловская,-10
Люблинская линия,Зябликово,-15
Калининская линия,Новокосино,-9
Замоскворецкая линия,Алма-Атинская,-10
Арбатско-Покровская линия,Пятницкое шоссе,-11
Таганско-Краснопресненская линия,Лермонтовский проспект,-12
Таганско-Краснопресненская линия,Жулебино,-15
Бутовская линия,Битцевский парк,-10
Бутовская линия,Лесопарковая,-10
Калининская линия,Деловой центр,-30
Калининская линия,Парк Победы,-84
